"";"CD_MUNIC";"ano";"Pop";"Obitos";"PopPad";"Obtadj";"tx";"txadj"
"303";160027;2013;43832;14;1e+06;327,39627141704;31,9401350611425;32,739627141704
"304";160030;2013;437256;171,4;1e+06;373,273951419917;39,199004702051;37,3273951419917
"305";160040;2013;18739;3,8;1e+06;243,452066920014;20,2785634238753;24,3452066920014
"306";160050;2013;22986;6,4;1e+06;315,094564315029;27,8430348908031;31,5094564315029
"307";160053;2013;18708;7,4;1e+06;420,800000761298;39,5552704725251;42,0800000761298
"308";160055;2013;4277;0,7;1e+06;187,417725558499;16,366612111293;18,7417725558499
"309";160060;2013;108897;39,3;1e+06;341,64601579736;36,0891484613901;34,164601579736
"310";160070;2013;14292;4,1;1e+06;330,830125398931;28,6873775538763;33,0830125398931
"311";160080;2013;13724;2;1e+06;151,714340999945;14,573010784028;15,1714340999945
"312";170025;2013;2506;0,5;1e+06;202,872015270512;19,952114924182;20,2872015270512
"313";170030;2013;5820;0,5;1e+06;86,8828988978138;8,59106529209622;8,68828988978138
"314";170035;2013;5686;1;1e+06;174,527625207522;17,5870559268378;17,4527625207522
